Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.8730769230769231,0.8763480392156863,,0.872651488194836,0.1390068531036377
PassiveAggressiveClassifier,0.8769230769230769,0.8720821661998133,,0.8767592936697604,0.16962289810180664
LogisticRegression,0.8692307692307693,0.8673961251167134,,0.8691611128895306,0.13782358169555664
CalibratedClassifierCV,0.8576923076923076,0.854108309990663,,0.8577453120767841,4.012732267379761
Perceptron,0.8538461538461538,0.8491538281979458,,0.8523077934442203,0.06307148933410645
LinearSVC,0.8461538461538461,0.8400326797385621,,0.8462977658784498,1.1348588466644287
SGDClassifier,0.8153846153846154,0.8127275910364146,,0.8142582625784801,0.0736386775970459
RidgeClassifierCV,0.7961538461538461,0.7902135854341736,,0.7946646134483513,0.15641045570373535
ExtraTreesClassifier,0.7346153846153847,0.733374183006536,,0.7317737937083406,0.2548537254333496
LGBMClassifier,0.7307692307692307,0.7260154061624651,,0.7317501612315652,3.2659494876861572
XGBClassifier,0.7192307692307692,0.7150910364145658,,0.7176098872434366,1.4472167491912842
RandomForestClassifier,0.7153846153846154,0.713141923436041,,0.7073114459899218,1.0102612972259521
KNeighborsClassifier,0.7076923076923077,0.7056139122315593,,0.7064976780935801,0.08391022682189941
SVC,0.7076923076923077,0.7042950513538749,,0.705702561450728,0.12585687637329102
RidgeClassifier,0.6384615384615384,0.6372782446311858,,0.6421186653417464,0.04128384590148926
LinearDiscriminantAnalysis,0.5038461538461538,0.49917717086834734,,0.513075501646683,0.265702486038208
BaggingClassifier,0.5,0.4939250700280112,,0.492968033914011,2.2509143352508545
DecisionTreeClassifier,0.3730769230769231,0.37118347338935576,,0.38186510843626453,0.227614164352417
ExtraTreeClassifier,0.36538461538461536,0.359109477124183,,0.3680795434343798,0.02194380760192871
NearestCentroid,0.36538461538461536,0.3573704481792717,,0.33688494559704907,0.06852889060974121
GaussianNB,0.35384615384615387,0.3462593370681606,,0.33320896715784437,0.03191328048706055
BernoulliNB,0.3346153846153846,0.326499766573296,,0.30419647258475196,0.03127789497375488
AdaBoostClassifier,0.3269230769230769,0.31035830999066294,,0.3100746579808917,2.5797433853149414
QuadraticDiscriminantAnalysis,0.19615384615384615,0.19247782446311856,,0.19346769061107227,0.17426633834838867
LabelPropagation,0.13076923076923078,0.125,,0.030245944531658818,0.049086570739746094
LabelSpreading,0.13076923076923078,0.125,,0.030245944531658818,0.04976654052734375
DummyClassifier,0.1076923076923077,0.125,,0.020940170940170942,0.020458459854125977
