Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
CalibratedClassifierCV,0.8739495798319328,0.8703359140859142,,0.8745519845352363,2.439316749572754
PassiveAggressiveClassifier,0.8697478991596639,0.868956043956044,,0.870677276502762,0.09965753555297852
LinearSVC,0.865546218487395,0.8619484681984682,,0.8652964974302448,0.6024107933044434
LogisticRegression,0.8571428571428571,0.8531821626649213,,0.8586553079450548,0.07720541954040527
NuSVC,0.8487394957983193,0.8498355093182679,,0.8524447444252534,0.07978463172912598
SGDClassifier,0.8445378151260504,0.8434419029246616,,0.8438917098674918,0.04102730751037598
RidgeClassifierCV,0.8109243697478992,0.8060583812738985,,0.8137833583659708,0.14126300811767578
Perceptron,0.7815126050420168,0.7721171787982133,,0.7815997702713514,0.034258365631103516
SVC,0.7521008403361344,0.7542165449493036,,0.7488108523875099,0.07248401641845703
KNeighborsClassifier,0.726890756302521,0.730525580741098,,0.7296282667735955,0.07133030891418457
LGBMClassifier,0.7352941176470589,0.7304339338822097,,0.7345308328610036,2.01049542427063
ExtraTreesClassifier,0.7184873949579832,0.720831180313939,,0.7167737702526175,0.2123126983642578
RidgeClassifier,0.7016806722689075,0.7007196826162343,,0.7074748532902032,0.021375656127929688
XGBClassifier,0.7016806722689075,0.6995377467360226,,0.699245110123329,0.8987264633178711
RandomForestClassifier,0.6932773109243697,0.6951526921354507,,0.6945259719490252,0.8146741390228271
LinearDiscriminantAnalysis,0.6512605042016807,0.6422367144349903,,0.6496845802431137,0.1504225730895996
BaggingClassifier,0.4957983193277311,0.48966809053015947,,0.5000635381358047,1.371924638748169
NearestCentroid,0.36134453781512604,0.35880929415412177,,0.3753857049476329,0.046672821044921875
GaussianNB,0.36134453781512604,0.3512272210548073,,0.3717006665067128,0.01731705665588379
DecisionTreeClassifier,0.35294117647058826,0.35065473319783663,,0.3509308407853818,0.11587238311767578
ExtraTreeClassifier,0.33613445378151263,0.3356030463789085,,0.33692060176658023,0.014352560043334961
BernoulliNB,0.2857142857142857,0.2897469628073076,,0.27501114437240853,0.019677400588989258
AdaBoostClassifier,0.21008403361344538,0.22660321000838243,,0.19137394555635245,1.522442102432251
QuadraticDiscriminantAnalysis,0.18067226890756302,0.1839810333344816,,0.17859418848376502,0.12217354774475098
LabelSpreading,0.13865546218487396,0.125,,0.03376848894539366,0.03747391700744629
LabelPropagation,0.13865546218487396,0.125,,0.03376848894539366,0.038616180419921875
DummyClassifier,0.09243697478991597,0.125,,0.015643180349062702,0.013433218002319336
