Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7923076923076923,0.7983142108260703,,0.7920427219164303,0.07288956642150879
CalibratedClassifierCV,0.7576923076923077,0.7664030234120367,,0.7575182814297712,1.475409746170044
LogisticRegression,0.7461538461538462,0.7518037860305413,,0.7474661599293952,0.07293558120727539
Perceptron,0.7423076923076923,0.7507376158348644,,0.7438092910632365,0.03155326843261719
PassiveAggressiveClassifier,0.7423076923076923,0.7505692656665143,,0.7408289751099028,0.08123493194580078
RidgeClassifierCV,0.7269230769230769,0.7370526216351643,,0.7248803183881508,0.11502861976623535
SVC,0.7269230769230769,0.735280535316114,,0.7258689547615028,0.06804370880126953
LinearSVC,0.7153846153846154,0.7254939325029458,,0.7140444518435611,0.3856935501098633
SGDClassifier,0.6961538461538461,0.7007993894853477,,0.7003221646592782,0.03249502182006836
LinearDiscriminantAnalysis,0.6807692307692308,0.6941024617732398,,0.6788137160600286,0.11821269989013672
LGBMClassifier,0.676923076923077,0.6904615813415624,,0.671908627090765,1.8139572143554688
RidgeClassifier,0.6615384615384615,0.6758189615044454,,0.6553821096419491,0.016197681427001953
KNeighborsClassifier,0.6576923076923077,0.667445907981961,,0.6544550815356371,0.06844520568847656
XGBClassifier,0.6269230769230769,0.6400826622600816,,0.6220074802246933,0.7627198696136475
RandomForestClassifier,0.6115384615384616,0.628660823240994,,0.6010747286437086,0.6946310997009277
ExtraTreesClassifier,0.6038461538461538,0.6231834188546712,,0.5884121423826149,0.20233678817749023
BaggingClassifier,0.48846153846153845,0.5030495384859711,,0.48563309924191317,0.9528872966766357
GaussianNB,0.4076923076923077,0.42252106202533146,,0.40884612065648585,0.014802932739257812
NearestCentroid,0.4,0.41585616488367916,,0.4015716538034718,0.04540419578552246
DecisionTreeClassifier,0.36923076923076925,0.37766823493815904,,0.36390210522365835,0.0941154956817627
BernoulliNB,0.3423076923076923,0.35911305382368003,,0.333720276676914,0.015765905380249023
ExtraTreeClassifier,0.2692307692307692,0.28003219942261687,,0.2654689642221935,0.013002395629882812
AdaBoostClassifier,0.26153846153846155,0.2672201138519924,,0.21980939508115754,1.21940016746521
QuadraticDiscriminantAnalysis,0.12307692307692308,0.1313512941833625,,0.11155558543708224,0.12192058563232422
LabelSpreading,0.13076923076923078,0.125,,0.030245944531658818,0.037018537521362305
LabelPropagation,0.13076923076923078,0.125,,0.030245944531658818,0.035675764083862305
DummyClassifier,0.10384615384615385,0.125,,0.01953899758777808,0.010997772216796875
