Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
CalibratedClassifierCV,0.8384615384615385,0.8421729404302765,,0.8367353745393311,1.9509985446929932
PassiveAggressiveClassifier,0.823076923076923,0.82757855203806,,0.8224917525632991,0.09347844123840332
LogisticRegression,0.8192307692307692,0.8227642040904882,,0.8214431106718361,0.07565617561340332
RidgeClassifierCV,0.8192307692307692,0.821958605754648,,0.8169346518991909,0.12203025817871094
LinearSVC,0.8115384615384615,0.8141090023842997,,0.8115831890438819,0.3990638256072998
Perceptron,0.8,0.8042516638159185,,0.7966228556996804,0.0316774845123291
LinearDiscriminantAnalysis,0.7846153846153846,0.7863155072202612,,0.7895999015147291,0.12673401832580566
SGDClassifier,0.7769230769230769,0.7806050419957504,,0.7821756430063734,0.03563880920410156
NuSVC,0.7653846153846153,0.7659373741909186,,0.7682177212132477,0.07931160926818848
RidgeClassifier,0.7423076923076923,0.7466836535358718,,0.7426119139155882,0.018720149993896484
SVC,0.7346153846153847,0.7355316762119645,,0.7369829366130903,0.07352399826049805
LGBMClassifier,0.7153846153846154,0.7252854403027547,,0.707009468560864,1.9317317008972168
XGBClassifier,0.65,0.657922287176313,,0.6437536857755888,0.8572466373443604
RandomForestClassifier,0.6461538461538462,0.651091388568872,,0.6469605197834922,0.7752416133880615
ExtraTreesClassifier,0.6384615384615384,0.6416127980230985,,0.6385395750111422,0.20920658111572266
KNeighborsClassifier,0.5846153846153846,0.5811976281376541,,0.5815564634213917,0.06999826431274414
BaggingClassifier,0.47692307692307695,0.4768682200545644,,0.47119329617578437,1.145958423614502
NearestCentroid,0.41923076923076924,0.4174971104272654,,0.42553841296027467,0.04985809326171875
DecisionTreeClassifier,0.38846153846153847,0.3934499385224894,,0.39812817821622315,0.11821317672729492
BernoulliNB,0.38076923076923075,0.38331051905404107,,0.38003643733163944,0.023564577102661133
GaussianNB,0.36153846153846153,0.35918803389942855,,0.3743928115140398,0.015987873077392578
ExtraTreeClassifier,0.31153846153846154,0.3257799616614616,,0.3080448417819218,0.01329946517944336
AdaBoostClassifier,0.2230769230769231,0.2566390740564619,,0.18067640256580914,1.3567383289337158
QuadraticDiscriminantAnalysis,0.14615384615384616,0.15695227304856585,,0.14155488876246966,0.12732362747192383
LabelSpreading,0.14615384615384616,0.125,,0.037274135260712445,0.04073381423950195
LabelPropagation,0.14615384615384616,0.125,,0.037274135260712445,0.03936958312988281
DummyClassifier,0.1,0.125,,0.018181818181818184,0.012735843658447266
