Cell age,Nuclei count,Nucleus touches FOV border,Expert structural annotation score (annotator 1),Expert structural annotation score (annotator 2),Cell number,FOV path,probe_561_loc_score,probe_638_loc_score,Rescaled 2D single cell tiff path,Expert structural annotation score (mean),Cell aspect ratio,Fraction cell area background,Fraction cell area diffuse/other,Fraction cell area fibers,Fraction cell area disorganized puncta,Fraction cell area organized puncta,Fraction cell area organized z-disks,Max coefficient var,Peak height,Peak angle,Alpha-actinin intensity (median),Alpha-actinin intensity (integrated),HPRT1 count,COL2A1 count,H19 count,ATP2A2 count,MYH6 count,MYH7 count,BAG3 count,TCAP count,Expert structural annotation score (round-up),Expert structural annotation score (grouped),Combined organizational score,HPRT1 (count/μm^2),COL2A1 (count/μm^2),H19 (count/μm^2),ATP2A2 (count/μm^2),MYH6 (count/μm^2),MYH7 (count/μm^2),BAG3 (count/μm^2),TCAP (count/μm^2),Cell area (μm^2),Peak distance (μm),"Alpha-actinin intensity (median, normalized per day)",Combined organizational score (rounded),MYH7-MYH6 relative transcript abundance (normalized),MYH6 localization,MYH7 localization,Enrichment of MYH6 transcript localization to organized puncta,Enrichment of MYH6 transcript localization to organized z-disks,Enrichment of MYH6 transcript localization to fibers,"Enrichment of MYH6 transcript localization to fibers, organized puncta, and organized z-disks",Enrichment of MYH7 transcript localization to organized puncta,Enrichment of MYH7 transcript localization to organized z-disks,Enrichment of MYH7 transcript localization to fibers,"Enrichment of MYH7 transcript localization to fibers, organized puncta, and organized z-disks",MYH6 probe distance to alpha-actinin segmentation (mean),MYH7 probe distance to alpha-actinin segmentation (mean)
18,1,False,3,3,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,,,/allen/aics/gene-editing/FISH/2019/chaos/data/cp_20191122/quilt_data_contrasted/rescaled_2D_single_cell_tiff_path/339664d0_5dbc0092_5500000013_63X_20190807_S1_P1_B2_annotations_corrected_rescaled_cell1.ome.tiff,3.0,0.34818873,0.0,0.253397063365058,0.2133201381285269,0.28646228136668633,0.2191035683202785,0.02771694881945029,0.39685487632057215,0.3513858910668663,0.0,558.0,150453296.0,1.0,111.0,,,,,,,3,3,2.453547762945843,0.00048741152505997113,0.054102679281656796,,,,,,,2051.6543,1.68,1.1364562118126273,2,,,,,,,,,,,,,
18,2,False,2,3,2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,,,/allen/aics/gene-editing/FISH/2019/chaos/data/cp_20191122/quilt_data_contrasted/rescaled_2D_single_cell_tiff_path/b90a3473_5dbc0092_5500000013_63X_20190807_S1_P1_B2_annotations_corrected_rescaled_cell2.ome.tiff,2.5,0.40521127,0.06793602003642987,0.12777493169398907,0.1612946835154827,0.3614384107468124,0.2813780737704918,0.00017788023679417118,0.07650825705625758,0.33905069808784594,59.99999999999999,598.0,166502768.0,15.0,279.0,,,,,,,3,3,1.6817974551506016,0.0074116765330904675,0.1378571835154827,,,,,,,2023.8336,1.44,1.2179226069246436,2,,,,,,,,,,,,,
18,1,False,3,3,3,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,,,/allen/aics/gene-editing/FISH/2019/chaos/data/cp_20191122/quilt_data_contrasted/rescaled_2D_single_cell_tiff_path/0aef4753_5dbc0092_5500000013_63X_20190807_S1_P1_B2_annotations_corrected_rescaled_cell3.ome.tiff,3.0,0.34552538,0.007635461263668839,0.08752829211093234,0.4809181642169562,0.17684273676747295,0.15508167216601673,0.09199367347495296,0.564937715470966,0.5332954348499279,48.0,535.0,135327808.0,19.0,126.0,,,,,,,3,3,2.534087538482845,0.008995149058141614,0.05965204112241281,,,,,,,2112.2495,1.92,1.089613034623218,3,,,,,,,,,,,,,
18,1,False,2,2,5,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,,,/allen/aics/gene-editing/FISH/2019/chaos/data/cp_20191122/quilt_data_contrasted/rescaled_2D_single_cell_tiff_path/f2080757_5dbc0092_5500000013_63X_20190807_S1_P1_B2_annotations_corrected_rescaled_cell5.ome.tiff,2.0,0.7810974,0.0,0.2291649955883533,0.16077444453356862,0.4330783267827064,0.1764006978423037,0.0005815352530680997,0.0387771972729208,0.3672872345945414,108.0,704.0,220522736.0,13.0,171.0,,,,,,,2,1-2,2.0695943732590396,0.0045258370988298,0.0595321649153766,,,,,,,2872.3967,1.44,1.4338085539714867,2,,,,,,,,,,,,,
18,1,False,2,1,6,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,,,/allen/aics/gene-editing/FISH/2019/chaos/data/cp_20191122/quilt_data_contrasted/rescaled_2D_single_cell_tiff_path/7973f9cd_5dbc0092_5500000013_63X_20190807_S1_P1_B2_annotations_corrected_rescaled_cell6.ome.tiff,1.5,0.6300852,0.0,0.15870528890247632,0.7187595536533169,0.015839957199633138,0.10669520024457352,0.0,0.41231900121281984,0.3783787456915322,72.0,474.0,46119020.0,3.0,41.0,,,,,,,2,1-2,1.6458942050199086,0.0039806888820951795,0.05440274805530079,,,,,,,753.63837,1.3199999999999998,0.9653767820773931,2,,,,,,,,,,,,,
18,1,False,3,3,8,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,,,/allen/aics/gene-editing/FISH/2019/chaos/data/cp_20191122/quilt_data_contrasted/rescaled_2D_single_cell_tiff_path/6d04e82f_5dbc0092_5500000013_63X_20190807_S1_P1_B2_annotations_corrected_rescaled_cell8.ome.tiff,3.0,0.4475125,0.14592799053109848,0.3093333587873697,0.4017792371425299,0.12221755564888702,0.020741857890114925,0.0,0.13937197076234975,0.4803627495945832,59.99999999999999,1200.0,226876128.0,11.0,128.0,,,,,,,3,3,2.233087917717727,0.007291520836249943,0.0848467879127266,,,,,,,1508.6016,1.68,2.443991853360489,2,,,,,,,,,,,,,
18,1,False,3,3,9,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,,,/allen/aics/gene-editing/FISH/2019/chaos/data/cp_20191122/quilt_data_contrasted/rescaled_2D_single_cell_tiff_path/5241d0e3_5dbc0092_5500000013_63X_20190807_S1_P1_B2_annotations_corrected_rescaled_cell9.ome.tiff,3.0,0.52874196,0.18935689336346825,0.10469488391206082,0.2448633655229093,0.09357920690363672,0.3459009656872817,0.021604684610643108,0.2600166673304941,0.4356480338445303,12.0,436.0,85247480.0,4.0,135.0,,,,,,,3,3,1.9482068610378924,0.0028536858206058948,0.09631189644544895,,,,,,,1401.6959,1.68,0.8879837067209776,2,,,,,,,,,,,,,
18,1,False,2,2,11,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,,,/allen/aics/gene-editing/FISH/2019/chaos/data/cp_20191122/quilt_data_contrasted/rescaled_2D_single_cell_tiff_path/d295406b_5dbc0092_5500000013_63X_20190807_S1_P1_B2_annotations_corrected_rescaled_cell11.ome.tiff,2.0,0.29949334,0.26257780823482385,0.03209411227228598,0.1751613271657815,0.0904288732796528,0.4397378790474559,0.0,0.22693612131618554,0.44102354200626703,24.0,302.0,70186064.0,15.0,197.0,,,,,,,2,1-2,1.8077348332872352,0.007435802257628538,0.09765686965018813,,,,,,,2017.2672,1.7999999999999998,0.615071283095723,2,,,,,,,,,,,,,
18,1,False,2,3,12,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,,,/allen/aics/gene-editing/FISH/2019/chaos/data/cp_20191122/quilt_data_contrasted/rescaled_2D_single_cell_tiff_path/1e6f7055_5dbc0092_5500000013_63X_20190807_S1_P1_B2_annotations_corrected_rescaled_cell12.ome.tiff,2.5,0.55943877,0.16794860394807046,0.28271163080206296,0.5250533523030411,0.0,0.02386404054775031,0.0004223723990752268,0.3938403136769521,0.6050281355509092,36.0,440.0,86401472.0,4.0,61.0,,,,,,,3,3,2.615493848066147,0.0030875175370996106,0.04708464244076907,,,,,,,1295.5392,2.28,0.8961303462321792,3,,,,,,,,,,,,,
18,1,False,1,2,1,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,,,/allen/aics/gene-editing/FISH/2019/chaos/data/cp_20191122/quilt_data_contrasted/rescaled_2D_single_cell_tiff_path/84c166c0_9a39c522_5500000013_63X_20190807_S1_P10_B2_annotations_corrected_rescaled_cell1.ome.tiff,1.5,0.8086256,0.09761768265494618,0.09262930759921012,0.20896633543537804,0.2968262309701255,0.30396044334034017,0.0,0.0531758324429636,0.5853527438493864,24.0,329.0,176361344.0,17.0,282.0,,,,,,,2,1-2,2.298284448049893,0.004699963196523487,0.0779640953776249,,,,,,,3617.0496,2.16,0.670061099796334,2,,,,,,,,,,,,,
